PERIOD,UNIT_ID,UNIT_NAME,UNIT_TYPE,AREA_CODE,AREA_NAME,REG_CODE,REG_NAME,TOPIC_REASON_1,TOPIC_REASON_2,TOPIC_RESULT,SERVICE,BRAND,APP_ID,JML
2023-05-15,1122,GraPARI Tanjung Batu Karimun,gerai,1,Sumatera,2,Sumbagteng,(DE)AKTIVASI PRODUK,Aktivasi Paket,I21-Informasi channel aktifasi/pembelian,I,kartu As,DSC,1
2023-05-15,1124,GraPARI Tembilahan,gerai,1,Sumatera,2,Sumbagteng,BACKEND QUERY & SYSTEM,Validasi Pelanggan,C81-Pengecekan status aktivasi nomor,C,KartuHalo,DSC,1
2023-05-15,1124,GraPARI Tembilahan,gerai,1,Sumatera,2,Sumbagteng,BACKEND QUERY & SYSTEM,Validasi Pelanggan,C81-Pengecekan status aktivasi nomor,C,kartu As,DSC,1
2023-05-15,1310,GraPARI Solok,gerai,1,Sumatera,2,Sumbagteng,(DE)AKTIVASI PRODUK,Aktivasi Paket,I21-Informasi syarat & ketentuan pembelian produk,I,kartu As,DSC,2
2023-05-15,1310,GraPARI Solok,gerai,1,Sumatera,2,Sumbagteng,MUTASI,Voluntary Block,K57-Pengaduan SMS Penipuan / Spam / Virus / Promosi,K,KartuHalo,DSC,1
2023-05-15,1310,GraPARI Solok,gerai,1,Sumatera,2,Sumbagteng,MUTASI,P2P/SPTP,P58-Permintaan Migrasi Pre to Post,P,simPATI,DSC,1
2023-05-15,1310,GraPARI Solok,gerai,1,Sumatera,2,Sumbagteng,MUTASI,Ganti Paket,P54-Permintaan modify offer/VAS,P,KartuHalo,DSC,1
2023-05-15,1310,GraPARI Solok,gerai,1,Sumatera,2,Sumbagteng,TERMINASI,Berhenti berlangganan Telkomsel Halo,P71-Permintaan berhenti berlangganan,P,KartuHalo,DSC,1
2023-05-15,1311,GraPARI Teluk Kuantan,gerai,1,Sumatera,2,Sumbagteng,MUTASI,Card Profile,I51-Informasi PUK,I,kartu As,DSC,1
2023-05-15,1311,GraPARI Teluk Kuantan,gerai,1,Sumatera,2,Sumbagteng,(DE)AKTIVASI PRODUK,Aktivasi Paket,P21-Permintaan aktivasi produk,P,KartuHalo,DSC,2
2023-05-15,1311,GraPARI Teluk Kuantan,gerai,1,Sumatera,2,Sumbagteng,(DE)AKTIVASI PRODUK,Aktivasi Paket,P21-Permintaan aktivasi produk,P,kartu As,DSC,1
2023-05-15,1311,GraPARI Teluk Kuantan,gerai,1,Sumatera,2,Sumbagteng,REGISTRASI & REAKTIVASI,Reestablish Halo,P15-Permintaan reestablish,P,KartuHalo,DSC,1
2023-05-15,1313,GraPARI Bagan Siapiapi,gerai,1,Sumatera,2,Sumbagteng,MUTASI,Ganti Kartu,P51-Ganti Kartu Karena Hilang, Terdapat Fitur Banking,P,simPATI,DSC,1
2023-05-15,1313,GraPARI Bagan Siapiapi,gerai,1,Sumatera,2,Sumbagteng,MUTASI,CLS,P55-Permintaan perubahan modify CLS (upgrade),P,KartuHalo,DSC,2
